firstname,p_f_r_his,p_f_r_whi,p_f_r_bla,p_f_r_asi,p_f_r_oth
AARON,0.000573291,0.001523216,0.001062633,0.000449271,0.000817853
ABBAS,0,1.92E-05,1.79E-05,8.99E-05,0
ABBEY,0,2.51E-05,1.79E-05,0,0
ABBIE,5.46E-06,3.24E-05,1.79E-05,0,0
ABBY,2.18E-05,0.000113101,3.57E-05,3.59E-05,0
ABDUL,5.46E-06,4.47E-05,0.000133945,0.00062898,0.000233672
ABDULLAH,5.46E-06,1.32E-05,3.57E-05,5.99E-05,0
ABE,1.09E-05,1.09E-05,3.57E-05,5.99E-06,0
ABEL,0.001474177,1.92E-05,6.25E-05,4.79E-05,0
ABELARDO,0.000327595,3.19E-06,0,5.39E-05,0
ABHIJIT,0,2.74E-06,0,0.000167728,0
ABHISHEK,0,0,0,0.000107825,0
ABIGAIL,0.000278456,0.000155514,5.36E-05,0.000119806,0
ABNER,8.74E-05,6.38E-06,4.46E-05,3.59E-05,0
ABRAHAM,0.000693409,8.98E-05,0.00028575,0.000305504,0.000701016
ABRAM,2.18E-05,1.60E-05,2.68E-05,5.99E-06,0
ADA,0.000333055,4.83E-05,0.000125016,0.000101835,0.000116836
ADALBERTO,0.000354895,1.82E-06,0,0,0
ADAM,0.000513232,0.002071847,0.000267891,0.000287534,0.001168361
ADAN,0.000731629,3.65E-06,2.68E-05,5.99E-06,0
ADDIE,5.46E-06,1.50E-05,0.000116086,5.99E-06,0.000116836
ADEL,3.82E-05,2.51E-05,3.57E-05,6.59E-05,0
ADELA,0.000420414,1.60E-05,0,5.99E-05,0
ADELAIDA,0.000125578,2.74E-06,0,8.99E-05,0
ADELAIDE,2.73E-05,1.41E-05,4.46E-05,0,0
ADELE,5.46E-06,8.25E-05,4.46E-05,3.00E-05,0.000116836
ADELINA,0.000212937,7.30E-06,8.93E-06,3.00E-05,0.000116836
ADELINE,3.82E-05,1.96E-05,4.46E-05,5.99E-05,0.000116836
ADINA,1.09E-05,2.23E-05,2.68E-05,5.99E-06,0
ADMIR,0,6.84E-06,0,0,0
ADNAN,0,2.01E-05,8.93E-06,0.000119806,0.000116836
ADOLFO,0.000851747,8.21E-06,8.93E-06,2.40E-05,0
ADOLPH,2.73E-05,1.46E-05,6.25E-05,0,0
ADRIA,2.18E-05,1.64E-05,0,0,0
