firstname,f_his,f_whi,f_bla,f_asi,f_ai,f_oth
AARON,0.000573291,0.001523216,0.001062633,0.000449271,0.000451671,0.001210361
ABBAS,0,1.92E-05,1.79E-05,8.99E-05,0,0
ABBEY,0,2.51E-05,1.79E-05,0,0,0
ABBIE,5.46E-06,3.24E-05,1.79E-05,0,0,0
ABBY,2.18E-05,0.000113101,3.57E-05,3.59E-05,0,0
ABDUL,5.46E-06,4.47E-05,0.000133945,0.00062898,0.000225836,0.000242072
ABDULLAH,5.46E-06,1.32E-05,3.57E-05,5.99E-05,0,0
ABE,1.09E-05,1.09E-05,3.57E-05,5.99E-06,0,0
ABEL,0.001474177,1.92E-05,6.25E-05,4.79E-05,0,0
ABELARDO,0.000327595,3.19E-06,0,5.39E-05,0,0
ABHIJIT,0,2.74E-06,0,0.000167728,0,0
ABHISHEK,0,0,0,0.000107825,0,0
ABIGAIL,0.000278456,0.000155514,5.36E-05,0.000119806,0,0
ABNER,8.74E-05,6.38E-06,4.46E-05,3.59E-05,0,0
ABRAHAM,0.000693409,8.98E-05,0.00028575,0.000305504,0.001355014,0
ABRAM,2.18E-05,1.60E-05,2.68E-05,5.99E-06,0,0
ADA,0.000333055,4.83E-05,0.000125016,0.000101835,0.000225836,0
ADALBERTO,0.000354895,1.82E-06,0,0,0,0
ADAM,0.000513232,0.002071847,0.000267891,0.000287534,0.000903342,0.001452433
ADAN,0.000731629,3.65E-06,2.68E-05,5.99E-06,0,0
ADDIE,5.46E-06,1.50E-05,0.000116086,5.99E-06,0.000225836,0
ADEL,3.82E-05,2.51E-05,3.57E-05,6.59E-05,0,0
ADELA,0.000420414,1.60E-05,0,5.99E-05,0,0
ADELAIDA,0.000125578,2.74E-06,0,8.99E-05,0,0
ADELAIDE,2.73E-05,1.41E-05,4.46E-05,0,0,0
ADELE,5.46E-06,8.25E-05,4.46E-05,3.00E-05,0,0.000242072
ADELINA,0.000212937,7.30E-06,8.93E-06,3.00E-05,0.000225836,0
